Method,DoS,DoS_n,Probe,Probe_n,R2L,R2L_n,U2R,U2R_n
Entropy Signature (Proposed),0.9171741778319124,1642,0.8861003861003861,518,0.5044910179640718,668,0.375,16
Isolation Forest,0.9817295980511571,1642,1.0,518,0.6047904191616766,668,0.875,16
One-Class SVM,0.9311814859926918,1642,0.9980694980694981,518,0.5449101796407185,668,0.6875,16
Logistic Regression,0.7807551766138855,1642,0.7065637065637066,518,0.1062874251497006,668,0.0625,16
MLP (Heavy DL Baseline),0.8398294762484775,1642,0.5772200772200772,518,0.05538922155688623,668,0.0,16
