Signature,F1_mean,F1_std,AUC_mean,AUC_std
3-block (legacy),0.7868705082546308,0.006750323987868241,0.8133831408703687,0.005947160578057971
"4-block (refined, primary)",0.8246351464430116,0.006850945822499767,0.8567315917886559,0.0047585597672940615
