Configuration,F1_mean,F1_std,AUC_mean,AUC_std
Full (rate+count+byte),0.7868705082546308,0.006750323987868241,0.8133831408703687,0.005947160578057971
No rate-entropy,0.6425345316653587,0.014279003137277563,0.6025118938378091,0.007441755300407604
No count-dispersion,0.7905881077739758,0.03079874222063867,0.8403447999886156,0.006232431709665209
No byte-entropy,0.7560951990006584,0.009287290182833419,0.7980632401421284,0.00586955987153918
Rate-only,0.7587520468613597,0.011512854094187815,0.8196211879609863,0.0066805483428251326
Count-only,0.5692832833979616,0.0071058682753027055,0.46377938165286087,0.004788025817001765
Byte-only,0.7989243954195314,0.009465108248780978,0.7321968032453844,0.00723125146374338
