Threshold Percentile,F1_mean,F1_std,R2L_recall_mean,U2R_recall_mean
95,0.3978248526052887,0.02084566129802965,0.011199984864540748,0.0
90,0.7263474315673532,0.009929830079163097,0.10384874465734124,0.05993589743589743
80,0.8179929051964188,0.007490407338835106,0.41556861674330703,0.3589743589743589
70,0.8135856081957323,0.006302675714829371,0.5334348437447568,0.42435897435897435
