Combination,F1_mean,F1_std,AUC_mean,AUC_std,R2L_recall_mean,U2R_recall_mean,Fit_time_ms_mean
mean,0.8388763803731882,0.007794231230976979,0.8627353291029856,0.005785780977486869,0.3735427481382235,0.36025641025641025,895.6997394561768
max,0.8225389779273458,0.007939827529127004,0.8561555040303945,0.004684158729092272,0.4000012470762132,0.41891025641025637,907.1847915649414
