Dataset,Variant,F1_mean,F1_std,AUC_mean,AUC_std
NSL-KDD,3-block (pre-refinement),0.7868705082546308,0.006750323987868241,0.8133831408703687,0.005947160578057971
NSL-KDD,Lean (2-component),0.7905881077739758,0.03079874222063867,0.8403447999886156,0.006232431709665209
Synthetic IoT,3-block (pre-refinement),0.7486155182005924,0.009139117150867418,0.8922060252672498,0.007092142062529219
Synthetic IoT,Lean (2-component),0.5839299241846027,0.0064505987024864085,0.7712542662779397,0.007977602022534362
