Comparison,mean_diff_F1,t_stat,t_p,wilcoxon_stat,wilcoxon_p
Proposed vs Isolation Forest,-0.052306386127339066,-11.048688243680303,0.0003815533944342527,0.0,0.0625
Proposed vs One-Class SVM,-0.038652274760572425,-8.961106277517025,0.0008579913754120933,0.0,0.0625
Proposed vs Logistic Regression,0.08140757971774149,16.210105598884166,8.47361995056566e-05,0.0,0.0625
Proposed vs MLP (Heavy DL Baseline),0.060329672776892274,9.849747276489046,0.0005959118464262794,0.0,0.0625
