Method,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,AUC_mean,AUC_std,Fit Time (s)_mean,Fit Time (s)_std,Infer Time (ms/flow)_mean,Infer Time (ms/flow)_std
Entropy Signature (Proposed),0.80176,0.007960301501827702,0.8306582991382229,0.012604596898237898,0.8189214359776171,0.01092260751982104,0.8246351464430116,0.006850945822499767,0.8567315917886559,0.0047585597672940615,0.2417682647705078,0.001854440850078258,0.0005835342407226562,1.0095740633836918e-05
Isolation Forest,0.8577600000000001,0.006385483536898388,0.8639525789781249,0.002716409579649679,0.8903582716826625,0.008692744396484538,0.8769415325703507,0.005181218819441963,0.9414448379640502,0.0014986692480797503,0.22697649002075196,0.007502341315263297,0.014258012771606446,0.0002550236721635519
One-Class SVM,0.84124,0.004687685996309903,0.8462563915923529,0.007480205425840545,0.8813660544932066,0.018014765151628115,0.863287421203584,0.006291767771732643,0.895098118644061,0.00551436947679098,0.10781025886535645,0.0012404445627809796,0.09900506019592284,0.002784287197293147
Logistic Regression,0.75708,0.012318831113380845,0.9316870157262447,0.0052308486603669085,0.6183877612989818,0.020968776351220735,0.7432275667252701,0.016406996174545132,0.8683922812252899,0.011770247761223656,0.8177474498748779,0.13720660406804275,0.0005513954162597656,0.0002979950130080417
MLP (Heavy DL Baseline),0.77916,0.00913665146538927,0.9728496732626825,0.004767177602590936,0.6294750417070024,0.014525095115526701,0.7643054736661193,0.012127145369382128,0.9223778869853868,0.020986493432759365,6.0752448558807375,0.3054550003271368,0.0019527053833007812,0.0006427325843565803
